YEAR, Month, Day, Hour,T_C, RH, windSpeed, Wind Direction, P_mm, SWEmm, inSR, soilTemp_10cm, melt_m_hr
2001,11,24,0,0.4,100,0.7,49.9,0.1,0,0,4.6,0
2001,11,24,1,0.5,100,1,42.9,0.3,0,0,4.6,0
2001,11,24,2,0.7,100,0.7,34.1,0.4,0,0,4.6,0
2001,11,24,3,0.5,100,1.1,43.6,0.2,0,0,4.6,0
2001,11,24,4,0.4,100,1.1,39.2,0,0,0,4.6,0
2001,11,24,5,0.5,100,0.9,51.7,0,0,0,4.6,0
2001,11,24,6,0.5,100,1,39,0,0,0,4.6,0
2001,11,24,7,0.7,99.2,0.7,67,0.2,0,0,4.6,0
2001,11,24,8,0.9,96.2,0.5,56.1,0.1,0,0,4.6,0
2001,11,24,9,0.8,94.4,0.9,15.9,0,0,0,4.6,0
2001,11,24,10,0.8,94.2,1.1,6.9,0,0,0,4.6,0
2001,11,24,11,0.7,94.5,1.3,350.1,0,0,0,4.6,0
2001,11,24,12,0.4,97.7,1.3,353.6,0.7,0,0,4.6,0
2001,11,24,13,0.3,97.6,1,354.9,0.7,0,0.1,4.6,0
2001,11,24,14,0.4,97.4,0.9,4.8,1.1,9,0,4.6,0
2001,11,24,15,0.3,99.9,0.6,172.3,0.9,22,0.1,4.6,0
2001,11,24,16,-0.1,100,0.6,167.3,0.5,22,0,4.6,0
2001,11,24,17,-0.4,100,-9999,-9999,1.7,24,0,4.6,0
2001,11,24,18,-0.6,100,-9999,-9999,1.9,25,0,4.6,0
2001,11,24,19,-0.9,100,-9999,-9999,1.9,27,0,4.6,0
2001,11,24,20,-1,100,-9999,-9999,1.3,29,0,4.6,0
2001,11,24,21,-1,100,-9999,-9999,1.7,30,0,4.6,0
2001,11,24,22,-0.9,100,-9999,-9999,2.4,33,0,4.6,0
2001,11,24,23,-0.6,100,-9999,-9999,2.3,35,0,4.6,0
2001,11,25,0,-0.4,100,-9999,-9999,0.6,36,0,4.6,0
2001,11,25,1,-0.3,100,-9999,-9999,2,37,0,4.6,0
2001,11,25,2,-0.5,100,-9999,-9999,0.5,39,0,4.5,0
2001,11,25,3,-0.6,100,-9999,-9999,0.7,39,0,4.5,0
2001,11,25,4,-0.6,100,-9999,-9999,0.3,39,0,4.5,0
2001,11,25,5,-0.8,100,-9999,-9999,0,40,0,4.5,0
2001,11,25,6,-0.8,100,-9999,-9999,0.1,40,0,4.5,0
2001,11,25,7,-0.7,100,-9999,-9999,0.1,40,0,4.5,0
2001,11,25,8,-0.6,100,-9999,-9999,0.3,40,0,4.5,0
2001,11,25,9,-0.5,100,-9999,-9999,1.6,42,0,4.5,0
2001,11,25,10,0.3,100,-9999,-9999,0.2,42,0.1,4.5,0
2001,11,25,11,0.4,100,0.1,259.3,0.4,43,0.1,4.5,0
2001,11,25,12,0.2,100,0.6,185.4,2,43,0,4.5,0
2001,11,25,13,0.2,100,0.8,180.8,0.5,45,0.2,4.5,0
2001,11,25,14,-0.2,100,1.2,163.2,3.9,47,0,4.5,0
2001,11,25,15,-0.4,100,-9999,-9999,0.8,50,0,4.5,0
2001,11,25,16,-0.5,100,-9999,-9999,1.2,51,0,4.5,0
2001,11,25,17,-0.7,100,-9999,-9999,0.6,52,0,4.5,0
2001,11,25,18,-0.6,100,-9999,-9999,0.3,52,0,4.5,0
2001,11,25,19,-0.6,100,-9999,-9999,0.3,52,0,4.5,0
2001,11,25,20,-0.6,100,-9999,-9999,0.8,52,0,4.5,0
2001,11,25,21,-0.7,100,-9999,-9999,0,53,0,4.5,0
2001,11,25,22,-0.7,100,-9999,-9999,0.1,53,0,4.5,0
2001,11,25,23,-0.8,100,-9999,-9999,0.2,53,0,4.5,0
2001,11,26,0,-0.9,100,-9999,-9999,0.2,53,0,4.5,0
2001,11,26,1,-0.8,100,-9999,-9999,0,53,0,4.5,0
2001,11,26,2,-0.7,100,-9999,-9999,0,52,0,4.5,0
2001,11,26,3,-0.7,100,-9999,-9999,0,52,0,4.5,0
2001,11,26,4,-0.8,100,-9999,-9999,0.1,52,0,4.4,0
2001,11,26,5,-0.9,100,-9999,-9999,0.1,52,0,4.4,0
2001,11,26,6,-0.9,100,-9999,-9999,0.3,53,0,4.4,0
2001,11,26,7,-1.1,100,-9999,-9999,0,53,0,4.4,0
2001,11,26,8,-0.9,100,-9999,-9999,0,53,0,4.4,0
2001,11,26,9,-0.2,100,-9999,-9999,0,53,0.1,4.4,0
2001,11,26,10,0.8,99.1,0.1,132.1,0,53,0.4,4.4,0
2001,11,26,11,2.8,89.2,0.1,105.4,0.1,53,0.9,4.4,0
2001,11,26,12,3.5,84.7,0.5,194.5,0.1,53,1.1,4.4,0
2001,11,26,13,2.1,91.2,0.5,163.2,0,54,0.8,4.4,0
2001,11,26,14,3.4,85.9,0.3,149.4,0,53,0.9,4.4,0
2001,11,26,15,5.6,75.6,0.3,265.8,0,54,1,4.4,0
2001,11,26,16,2.9,85.1,0.5,194.4,0,53,0.4,4.4,0
2001,11,26,17,0.3,98.2,0,42.1,0,53,0,4.4,0
2001,11,26,18,-1.1,100,0.6,73.1,0,53,0,4.4,0
2001,11,26,19,-1.8,100,1.2,52.8,0,53,0,4.4,0
2001,11,26,20,-2.5,100,1.5,51.5,0.25,54,0,4.4,0
2001,11,26,21,-2.2,100,0.9,49,0,52,0,4.4,0
2001,11,26,22,-3,100,1.1,44.4,0,52,0,4.4,0
2001,11,26,23,-3.2,100,1,56.8,0,52,0,4.4,0
2001,11,27,0,-3.5,100,1.2,53.7,0,52,0,4.4,0
2001,11,27,1,-3.8,100,1.2,48,0,52,0,4.4,0
2001,11,27,2,-3.7,100,1,55.3,0,52,0,4.4,0
2001,11,27,3,-4.4,100,0.7,50.6,0,51,0,4.4,0
2001,11,27,4,-4.4,100,0.3,29.6,0,51,0,4.4,0
2001,11,27,5,-4.9,100,0.5,38.7,0,51,0,4.3,0
2001,11,27,6,-5,100,0.2,44,0,51,0,4.3,0
2001,11,27,7,-5.6,100,0.2,10.3,0,51,0,4.3,0
2001,11,27,8,-5.7,100,0,0,0,51,0,4.3,0
2001,11,27,9,-5.3,100,0,0,0,51,0,4.3,0
2001,11,27,10,-3.4,100,0.2,26.7,0,50,0.4,4.3,0
2001,11,27,11,0.1,97.8,0.9,68.8,0,50,0.9,4.3,0
2001,11,27,12,1.6,91.5,1.2,68.2,0,51,1,4.3,0
2001,11,27,13,2.5,83.4,0.6,52.5,0,51,0.9,4.3,0
2001,11,27,14,1.9,85.3,0.6,54.3,0,51,0.6,4.3,0
2001,11,27,15,0.4,88.8,1,63.9,0,51,0.2,4.3,0
2001,11,27,16,-0.9,94.4,1.1,55.2,0,51,0,4.3,0
2001,11,27,17,-1.8,96.4,1.4,66.3,0,51,0,4.3,0
2001,11,27,18,-2.2,99.3,1.2,59.8,0,51,0,4.3,0
2001,11,27,19,-2.1,98.1,1,50.6,0,51,0,4.3,0
2001,11,27,20,-1.8,95.2,0.8,67.5,0,50,0,4.3,0
2001,11,27,21,-1.9,97.1,0.6,68,0,50,0,4.3,0
2001,11,27,22,-2,99.2,1,54.2,0,50,0,4.3,0
2001,11,27,23,-1.8,99.3,0.7,59.1,0,50,0,4.3,0
2001,11,28,0,-0.5,94,0.9,79.4,0,50,0,4.3,0
2001,11,28,1,-1.2,100,0.4,259,0.5,51,0,4.3,0
2001,11,28,2,-0.8,100,0.9,216.1,1.97,52,0,4.3,0
2001,11,28,3,-0.4,100,1,224,4.08,56,0,4.3,0
2001,11,28,4,0.6,100,0.8,286.9,4.32,61,0,4.3,0
2001,11,28,5,0.7,100,0.4,326.5,3.95,65,0,4.3,0
2001,11,28,6,1.4,100,0,76.2,3.95,67,0,4.2,0
2001,11,28,7,1.1,100,1.3,59.2,4.45,67,0,4.1,0
2001,11,28,8,2.6,100,0.3,112.2,4.81,67,0,3.9,0
2001,11,28,9,4.4,99.7,1.7,190.2,3.2,66,0,3.7,0
2001,11,28,10,4.8,98.4,1.9,198.3,3.47,65,0,3.5,0
2001,11,28,11,4.6,99.7,1,210.3,4.57,64,0,3.3,0
2001,11,28,12,4.2,100,0.6,233.6,5.92,64,0,3.2,0
2001,11,28,13,4,100,1.3,254.7,4.18,64,0,3,0
2001,11,28,14,3.6,100,0.7,205.6,5.5,64,0,2.9,0
2001,11,28,15,2.9,100,0.6,194.6,3.6,64,0,2.8,0
2001,11,28,16,2.6,100,0.6,198.4,2,63,0,2.7,0
2001,11,28,17,3,100,0.9,255.9,0.5,62,0,2.6,0
2001,11,28,18,3.1,100,0.8,194.5,0.8,61,0,2.6,0
2001,11,28,19,2.7,100,0.4,260.8,1,61,0,2.6,0
2001,11,28,20,2.6,100,0.5,249.7,0.8,62,0,2.5,0
2001,11,28,21,2.4,100,0.3,256.9,0.9,62,0,2.5,0
2001,11,28,22,2.7,99.2,0.8,244.9,0.1,61,0,2.5,0
2001,11,28,23,2.6,99,0.5,205.5,0.4,61,0,2.5,0
2001,11,29,0,2.3,99.7,1,206.9,1.2,61,0,2.5,0
2001,11,29,1,2.1,100,0.9,220.1,0.3,61,0,2.5,0
2001,11,29,2,2,100,0.7,214.8,0.1,61,0,2.5,0
2001,11,29,3,1.8,100,1,192.6,0.2,60,0,2.5,0
2001,11,29,4,1.4,100,0.9,203.3,1.8,61,0,2.5,0
2001,11,29,5,0.3,100,0.3,174.4,3.3,63,0,2.5,0
2001,11,29,6,-0.1,100,0.1,132.2,2.5,65,0,2.5,0
2001,11,29,7,-0.3,100,0.4,163.3,0.7,66,0,2.5,0
2001,11,29,8,-0.3,100,0,185.6,2,66,0,2.5,0
2001,11,29,9,-0.4,100,0,0,1.7,68,0,2.5,0
2001,11,29,10,-0.8,99.9,0,0,0.5,69,0.1,2.6,0
2001,11,29,11,-0.3,99.6,0,0,0,69,0.2,2.6,0
2001,11,29,12,0.4,98.8,0,0,0.1,69,0.4,2.6,0
2001,11,29,13,0.4,99.6,0,358.3,0,69,0.5,2.6,0
2001,11,29,14,0.8,98,0.3,268.7,0.1,69,0.3,2.6,0
2001,11,29,15,0,100,0.4,202.8,0.2,69,0.2,2.7,0
2001,11,29,16,-0.2,100,0.4,177.8,0.1,69,0,2.7,0
2001,11,29,17,-0.8,100,0.5,192.7,0.1,69,0,2.7,0
2001,11,29,18,-1,100,0.8,174.2,0.1,69,0,2.7,0
2001,11,29,19,-1,100,0.9,180.5,0.4,69,0,2.7,0
2001,11,29,20,-1,100,0.4,178.2,0.1,70,0,2.8,0
2001,11,29,21,-0.9,100,0.6,184.1,0.3,70,0,2.8,0
2001,11,29,22,-0.9,100,0.5,193.4,0,70,0,2.8,0
2001,11,29,23,-0.9,100,0.4,189.9,0,70,0,2.8,0
2001,11,30,0,-0.9,100,0.3,263.5,0.4,70,0,2.8,0
2001,11,30,1,-0.9,100,0.3,287.5,0.1,71,0,2.9,0
2001,11,30,2,-0.8,100,0.9,269.5,0.2,71,0,2.9,0
2001,11,30,3,-0.7,100,1,276.7,0.3,71,0,2.9,0
2001,11,30,4,-0.6,100,0.5,243.3,0.2,72,0,2.9,0
2001,11,30,5,-0.5,100,0.9,279.7,0.8,72,0,2.9,0
2001,11,30,6,-0.3,100,1,257.8,0.3,73,0,2.9,0
2001,11,30,7,0,100,0.7,228.9,1.6,74,0,2.9,0
2001,11,30,8,0,100,1.2,237.6,1,75,0,3,0
2001,11,30,9,0.3,100,1.2,251.3,1.7,77,0,3,0
2001,11,30,10,0.4,100,1.1,261.3,0.8,78,0,3,0
2001,11,30,11,0.7,100,0.9,252.9,1.5,79,0.1,3,0
2001,11,30,12,1,100,1,229.4,1,80,0.1,3,0
2001,11,30,13,1.3,100,1.2,225.4,0.6,82,0.3,3,0
2001,11,30,14,1.3,100,0.9,242.9,0.6,81,0,3,0
2001,11,30,15,1.5,100,1.3,204,0.7,81,0,3,0
2001,11,30,16,1.6,100,0.7,179.5,1.1,81,0,3,0
2001,11,30,17,1.1,100,0.3,23.2,0.7,81,0,3,0
2001,11,30,18,1,100,1.2,43.1,0.7,82,0,3,0
2001,11,30,19,0.8,100,0.9,59.4,0.2,82,0,3,0
2001,11,30,20,1.3,100,0.6,30.8,0.5,82,0,2.9,0
2001,11,30,21,2,99.9,0.3,335.4,0.8,82,0,2.9,0
2001,11,30,22,2.3,99.5,0.4,36.5,0,82,0,2.9,0
2001,11,30,23,2.8,96.9,0.5,51.6,0,81,0,2.9,0
2001,12,1,0,2.1,99.7,1.3,68.1,0,81,0,2.9,0
2001,12,1,1,1.8,100,1.5,55.2,0.7,82,0,2.9,0
2001,12,1,2,2.5,99,1,51.7,0.5,82,0,2.9,0
2001,12,1,3,3.9,91.1,0.1,89,0.1,82,0,2.9,0
2001,12,1,4,4,93.3,0.2,219.4,0.9,83,0,2.9,0
2001,12,1,5,2.8,100,0.4,179,3.7,84,0,2.9,0
2001,12,1,6,1,100,0.9,169.4,4.3,84,0,2.8,0
2001,12,1,7,0.7,100,0.7,191.4,1.6,84,0,2.6,0
2001,12,1,8,1.5,99.7,0.6,207.6,0,84,0,2.5,0
2001,12,1,9,1.5,99.9,0.8,208.2,0.5,84,0,2.5,0
2001,12,1,10,1.3,100,0.1,293.2,0.8,84,0,2.5,0
2001,12,1,11,0.7,100,0.2,269.4,2.3,85,0,2.5,0
2001,12,1,12,0.8,100,0.8,212.1,0.5,86,0.1,2.5,0
2001,12,1,13,1.3,100,0.4,234.4,0.4,86,0.1,2.5,0
2001,12,1,14,1.1,100,0.5,243.6,0.5,86,0,2.5,0
2001,12,1,15,0.6,100,0.8,196.6,3.6,88,0,2.5,0
2001,12,1,16,0.4,100,0.7,206.3,1.7,91,0,2.5,0
2001,12,1,17,0.3,100,0.3,213.9,2.4,93,0,2.5,0
2001,12,1,18,0.3,100,0.7,185.8,3.8,96,0,2.5,0
2001,12,1,19,0.3,100,0.6,206.3,2.6,98,0,2.6,0
2001,12,1,20,0.1,100,0.3,199.6,2.7,101,0,2.6,0
2001,12,1,21,0.3,100,1.3,189.7,0.8,103,0,2.6,0
2001,12,1,22,0.4,100,0.7,193.2,0.3,103,0,2.6,0
2001,12,1,23,0.3,100,0,0,0.1,103,0,2.6,0
2001,12,2,0,0.2,100,0.9,52.9,0.1,103,0,2.6,0
2001,12,2,1,0.2,100,1.4,53.2,0,103,0,2.6,0
2001,12,2,2,0.1,100,1.7,61.9,0,103,0,2.7,0
2001,12,2,3,-0.5,100,1.6,60.4,0,103,0,2.7,0
