local_time,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,WindSpeed,WindGustSpeed,RelHum,SW_in,SW_out,LW_in,LW_out,WindDir
2017/09/18 00:00,2.9,3.2,3.0,3.1,5.2,15.4,67.0,-0.7,0.3,-22.5,-3.1,225
2017/09/18 01:00,1.7,2.7,2.2,2.2,7.3,18.0,78.1,-0.8,-0.1,-16.7,-1.7,232
2017/09/18 02:00,0.6,1.4,1.0,1.0,7.4,17.6,90.4,-0.6,-0.1,-10.0,0.6,230
2017/09/18 03:00,-0.2,0.4,0.1,0.1,7.8,18.5,98.6,-0.4,-0.0,-5.8,1.9,nan
2017/09/18 04:00,-0.5,-0.4,-0.5,-0.5,8.3,17.4,100.0,-0.3,0.0,-1.9,2.2,nan
2017/09/18 05:00,-0.6,-0.6,-0.6,-0.6,6.7,14.6,100.0,-0.1,0.0,-0.4,1.6,nan
2017/09/18 06:00,-0.6,-0.5,-0.5,-0.5,5.6,13.0,100.0,0.0,0.1,-0.3,1.2,230
2017/09/18 07:00,-0.5,-0.3,-0.4,-0.4,5.5,12.9,100.0,1.2,0.4,-0.3,0.8,223
2017/09/18 08:00,-0.3,-0.1,-0.2,-0.2,5.2,12.3,100.0,7.8,2.0,-0.2,0.6,220
2017/09/18 09:00,-0.1,0.4,0.2,0.2,5.0,12.4,100.0,16.3,4.0,0.1,0.6,nan
2017/09/18 10:00,0.6,0.6,0.6,0.6,5.3,15.0,100.0,23.0,5.2,-0.1,0.3,nan
2017/09/18 11:00,0.5,0.6,0.6,0.6,5.7,15.1,100.0,35.4,10.0,-0.5,0.3,nan
2017/09/18 12:00,-0.2,0.5,0.2,0.2,6.6,15.0,100.0,57.3,31.1,-1.2,0.2,222
2017/09/18 13:00,-0.6,-0.4,-0.5,-0.5,6.4,13.3,100.0,88.0,60.3,-2.0,-0.3,218
2017/09/18 14:00,-0.7,-0.7,-0.7,-0.7,5.1,11.9,100.0,99.7,72.8,-1.8,-0.7,225
2017/09/18 15:00,-1.3,-0.7,-1.0,-1.0,5.9,13.2,100.0,116.9,92.6,-1.8,-1.0,219
2017/09/18 16:00,-1.6,-1.5,-1.6,-1.6,6.1,12.3,100.0,111.3,90.7,-3.9,-1.2,204
2017/09/18 17:00,-2.0,-1.7,-1.8,-1.8,5.1,10.7,100.0,76.1,63.6,-5.7,-1.0,207
2017/09/18 18:00,-2.0,-1.9,-1.9,-1.9,4.5,10.1,100.0,40.2,33.4,-4.0,-0.3,214
2017/09/18 19:00,-1.9,-1.9,-1.9,-1.9,5.6,13.9,100.0,15.5,12.7,-1.1,0.6,221
2017/09/18 20:00,-2.2,-1.9,-2.0,-2.0,6.4,16.7,100.0,2.4,2.0,-0.6,0.7,228
2017/09/18 21:00,-2.5,-2.4,-2.5,-2.5,5.5,14.7,100.0,-0.1,0.0,-0.5,0.7,215
2017/09/18 22:00,-2.5,-2.5,-2.5,-2.5,4.8,13.1,100.0,-0.0,0.2,-0.4,0.5,221
2017/09/18 23:00,-2.5,-2.4,-2.5,-2.5,4.6,13.5,100.0,0.1,0.2,-0.3,0.5,228
2017/09/19 00:00,-2.5,-2.4,-2.5,-2.5,5.5,15.9,100.0,-0.1,0.1,-0.3,0.4,231
2017/09/19 01:00,-3.0,-2.6,-2.8,-2.8,5.4,14.9,100.0,-0.2,0.1,-0.3,0.3,228
2017/09/19 02:00,-3.3,-3.1,-3.2,-3.2,5.0,12.7,100.0,-0.2,0.1,-0.3,0.3,224
2017/09/19 03:00,-3.7,-3.3,-3.5,-3.5,5.0,10.9,100.0,-0.2,0.1,-0.3,0.3,207
2017/09/19 04:00,-3.9,-3.8,-3.8,-3.8,5.3,11.3,100.0,-0.2,0.1,-0.3,0.3,210
2017/09/19 05:00,-4.0,-3.9,-3.9,-3.9,5.5,10.7,100.0,-0.2,0.1,-0.3,0.3,219
2017/09/19 06:00,-4.2,-4.0,-4.1,-4.1,4.6,10.1,100.0,-0.2,0.0,-0.3,0.3,224
2017/09/19 07:00,-4.6,-4.2,-4.4,-4.4,5.8,12.6,100.0,0.7,0.7,-0.3,0.3,209
2017/09/19 08:00,-4.6,-4.6,-4.6,-4.6,6.8,12.3,100.0,10.0,7.0,-0.3,0.3,198
2017/09/19 09:00,-4.6,-4.5,-4.5,-4.5,5.5,11.5,100.0,40.1,27.5,-0.3,0.2,210
2017/09/19 10:00,-4.5,-4.5,-4.5,-4.5,5.2,10.2,100.0,94.1,63.6,-0.9,-0.0,217
2017/09/19 11:00,-4.5,-4.5,-4.5,-4.5,6.5,11.6,100.0,133.8,89.5,-2.5,-0.2,213
2017/09/19 12:00,-4.5,-4.1,-4.3,-4.3,6.9,12.3,100.0,123.1,81.8,-3.5,-0.1,214
